name,type,lat,long,dates,trip,stay
Hopewell Culture,HOPE,NHP,40.04207839199868,-82.42803229,d,Civil War 3 Revenge of The Parks. Arguably a Piece of Gold in the Other Two Shit Shows,through

Emmett Till and Mamie Till Mobley,EMME,NM,34.309390682652406,-90.4766633,d,Civil War 3 Revenge of The Parks. Arguably a Piece of Gold in the Other Two Shit Shows,through
James A. Garfield,JAA.,NHS,41.664937534355154,-81.35083331,d,Civil War 3 Revenge of The Parks. Arguably a Piece of Gold in the Other Two Shit Shows,through
First Ladies,FIRS,NHS,40.79770372945249,-81.3752039,d,Civil War 3 Revenge of The Parks. Arguably a Piece of Gold in the Other Two Shit Shows,through

Phoenix Sky Harbor International Airport,AIRPORT,33.43611569053197, -112.01021402006121,d,arizona,through
Case Grande Ruins,NM,32.99763355706648, -111.53257898660242,d,arizona,through
Organ Pipe Cactus,NM,32.0281747198298, -112.8321055731125,d,arizona,through
Saguro,NP,32.20874358137888, -110.61961178465316,d,arizona,stay
Tumacacori,NHP,31.568035665976613, -111.05110790598502,d,arizona,visit
Coronado,NMEM,31.345956828790207, -110.25380768661668,d,arizona,visit
Fort Bowie,NHS,32.14463723132088, -109.43601577126582,d,arizona,visit
Chiricahua,NM,32.01234553913868, -109.34161050008285,d,arizona,visit
Tonto,NM,33.64850004998671, -111.11358475779492,d,arizona,through
Montezuma Castle,NM,34.61169029074903, -111.83488884059165,d,arizona,through
Tuzigoot,NM,34.76863964000016, -112.02673062522548,d,arizona,through
Walnut Canyon,NM,35.16915922557785, -111.50428325590448,d,arizona,through
Sunset Crater Volcano,NM,35.371244130452276, -111.51086161547086,d,arizona,through
Wupatki,NM,35.56008823574024, -111.39347345593865,d,arizona,through
Grand Canyon,NP,36.33079310940465, -112.35851187631067,d,arizona,stay
Phoenix Sky Harbor International Airport,AIRPORT,33.43611569053197, -112.01021402006121,d,arizona,through
